,datetime,energy,gh,csky_ghi,tdry,wspd,pres_hpa,rhum,snowd_m,rainfall
0,2021-01-01 00:00:00,0.0,0.0,0.0,0.4,0.36,967.2,100,3.5,0.5
1,2021-01-01 01:00:00,0.0,0.0,0.0,0.7,0.24,967.2,100,3.5,0.5
2,2021-01-01 02:00:00,0.0,0.0,0.0,0.7,0.75,967.2,99,3.5,0.5
3,2021-01-01 03:00:00,0.0,0.0,0.0,0.7,0.83,967.2,100,3.5,0.5
4,2021-01-01 04:00:00,0.0,0.0,0.0,0.4,0.87,967.2,100,3.5,0.5
5,2021-01-01 05:00:00,0.0,0.0,0.0,0.4,0.82,967.2,98,0.0,0.0
6,2021-01-01 06:00:00,0.0,0.0,0.0,0.4,0.88,967.2,98,0.0,0.0
7,2021-01-01 07:00:00,0.0,0.0,0.0,0.0,0.85,967.2,99,0.0,0.0
8,2021-01-01 08:00:00,0.0,26.28,27.66,0.0,0.77,967.2,98,0.0,0.0
9,2021-01-01 09:00:00,23.531999999999996,51.7,116.53,0.0,0.62,967.2,96,0.0,0.0
10,2021-01-01 10:00:00,52.631,64.36,189.79,0.4,0.76,967.2,94,0.0,0.0
11,2021-01-01 11:00:00,60.708999999999996,69.79,228.18,1.1,1.76,967.2,90,0.0,0.0
12,2021-01-01 12:00:00,63.193999999999996,69.37,225.06,1.5,2.38,967.2,84,0.0,0.0
13,2021-01-01 13:00:00,63.464,63.01,180.93,1.9,1.34,967.2,82,0.0,0.0
14,2021-01-01 14:00:00,62.879,49.01,103.67,1.9,1.27,967.2,80,0.0,0.0
15,2021-01-01 15:00:00,61.498000000000005,20.37,16.37,1.9,0.57,967.2,85,0.0,0.0
16,2021-01-01 16:00:00,54.364,0.0,0.0,1.5,0.92,967.2,89,0.0,0.0
17,2021-01-01 17:00:00,29.311999999999998,0.0,0.0,1.1,1.28,967.2,92,0.0,0.0
18,2021-01-01 18:00:00,0.401,0.0,0.0,0.4,1.38,967.2,94,0.0,0.0
19,2021-01-01 19:00:00,0.0,0.0,0.0,-0.7,1.22,967.2,96,0.0,0.0
20,2021-01-01 20:00:00,0.0,0.0,0.0,-1.1,1.28,967.2,98,0.0,0.0
21,2021-01-01 21:00:00,0.0,0.0,0.0,-0.7,1.42,967.2,99,0.0,0.0
22,2021-01-01 22:00:00,0.0,0.0,0.0,0.0,1.0,988.5,99,0.0,0.0
23,2021-01-01 23:00:00,0.0,0.0,0.0,-0.4,1.0,988.4,88,0.0,0.0
24,2021-01-02 00:00:00,0.0,0.0,0.0,-0.4,0.5,989.5,90,0.0,0.0
25,2021-01-02 01:00:00,0.0,0.0,0.0,-1.1,1.0,989.4,90,0.0,0.0
26,2021-01-02 02:00:00,0.0,0.0,0.0,1.0,0.5,989.4,87,0.0,0.0
27,2021-01-02 03:00:00,0.0,0.0,0.0,1.0,0.5,989.4,88,0.0,0.0
28,2021-01-02 04:00:00,0.0,0.0,0.0,1.0,0.5,989.5,89,0.0,0.0
29,2021-01-02 05:00:00,0.0,0.0,0.0,1.0,0.5,989.4,90,0.0,0.0
30,2021-01-02 06:00:00,0.0,0.0,0.0,1.0,0.5,989.4,91,0.0,0.0
31,2021-01-02 07:00:00,0.0,0.0,0.0,1.0,0.5,990.4,92,0.0,0.0
32,2021-01-02 08:00:00,0.0,26.38,27.89,1.0,0.5,990.4,93,0.0,0.0
33,2021-01-02 09:00:00,21.638,51.82,117.13,1.0,1.0,990.4,93,0.0,0.0
34,2021-01-02 10:00:00,50.978,64.51,190.79,2.0,1.0,991.4,86,0.0,0.0
35,2021-01-02 11:00:00,60.723,69.97,229.55,2.0,1.0,991.5,86,0.0,0.0
36,2021-01-02 12:00:00,63.34,69.6,226.77,2.0,0.5,990.5,86,0.0,0.0
37,2021-01-02 13:00:00,63.123000000000005,63.31,182.87,3.0,1.0,990.6,86,0.0,0.0
38,2021-01-02 14:00:00,61.388999999999996,49.44,105.64,2.0,1.5,990.6,80,0.0,0.0
39,2021-01-02 15:00:00,54.29,21.16,17.7,2.0,0.5,990.6,86,0.0,0.0
40,2021-01-02 16:00:00,12.777999999999999,0.0,0.0,2.0,1.5,990.6,86,0.0,0.0
41,2021-01-02 17:00:00,2.064,0.0,0.0,2.0,0.5,990.5,86,0.0,0.0
42,2021-01-02 18:00:00,0.002,0.0,0.0,1.9,0.6,990.5,86,0.0,0.0
43,2021-01-02 19:00:00,0.0,0.0,0.0,1.8,0.7,989.5,86,0.0,0.0
44,2021-01-02 20:00:00,0.0,0.0,0.0,1.8,0.9,990.6,86,0.0,0.0
45,2021-01-02 21:00:00,0.0,0.0,0.0,1.7,1.0,990.6,86,0.0,0.0
46,2021-01-02 22:00:00,0.0,0.0,0.0,1.6,1.1,977.8,86,0.0,0.0
47,2021-01-02 23:00:00,0.0,0.0,0.0,1.5,1.2,977.8,86,0.0,0.0
48,2021-01-03 00:00:00,0.0,0.0,0.0,1.5,1.4,977.8,86,0.0,0.0
49,2021-01-03 01:00:00,0.0,0.0,0.0,1.4,1.5,977.8,86,0.0,0.0
50,2021-01-03 02:00:00,0.0,0.0,0.0,1.3,1.6,977.8,86,0.0,0.0
51,2021-01-03 03:00:00,0.0,0.0,0.0,1.2,1.7,977.8,86,0.0,0.0
52,2021-01-03 04:00:00,0.0,0.0,0.0,1.2,1.9,977.8,86,0.0,0.0
53,2021-01-03 05:00:00,0.0,0.0,0.0,1.1,2.0,977.8,86,0.0,0.0
54,2021-01-03 06:00:00,0.0,0.0,0.0,1.0,2.1,977.8,86,0.0,0.0
55,2021-01-03 07:00:00,0.0,0.0,0.0,1.0,3.1,976.7,83,0.0,0.0
56,2021-01-03 08:00:00,0.0,26.53,28.21,1.0,4.1,976.7,80,1.0,0.5
57,2021-01-03 09:00:00,0.159,51.97,117.86,1.0,4.6,976.7,86,1.0,0.5
58,2021-01-03 10:00:00,13.288,72.38381,191.91,1.0,4.1,976.7,86,1.0,0.5
59,2021-01-03 11:00:00,8.24,87.15401999999999,231.07,1.0,5.1,976.7,86,1.0,0.5
60,2021-01-03 12:00:00,20.139,86.226166,228.61,1.0,3.1,976.7,93,1.0,0.5
61,2021-01-03 13:00:00,12.625,63.63,184.94,0.0,3.1,976.7,93,3.5,0.5
62,2021-01-03 14:00:00,19.804000000000002,49.88,107.72,0.0,1.5,976.6,94,3.5,0.5
63,2021-01-03 15:00:00,6.2989999999999995,21.98,19.13,0.0,1.5,976.6,94,0.0,0.0
64,2021-01-03 16:00:00,3.69,0.0,0.0,0.0,2.6,976.6,93,0.0,0.0
65,2021-01-03 17:00:00,0.613,0.0,0.0,0.0,1.5,976.6,92,0.0,0.0
66,2021-01-03 18:00:00,0.055,0.0,0.0,0.0,1.5,976.6,93,3.5,0.5
67,2021-01-03 19:00:00,0.0,0.0,0.0,0.0,1.5,976.6,95,0.0,0.0
68,2021-01-03 20:00:00,0.0,0.0,0.0,0.0,1.5,976.6,96,0.0,0.0
69,2021-01-03 21:00:00,0.0,0.0,0.0,0.0,1.5,976.6,96,0.0,0.0
70,2021-01-03 22:00:00,0.0,0.0,0.0,0.0,1.5,976.6,96,0.0,0.0
71,2021-01-03 23:00:00,0.0,0.0,0.0,0.0,1.5,976.6,96,0.0,0.0
72,2021-01-04 00:00:00,0.0,0.0,0.0,-0.4,1.5,976.6,96,0.0,0.0
73,2021-01-04 01:00:00,0.0,0.0,0.0,0.0,1.5,976.6,96,0.0,0.0
74,2021-01-04 02:00:00,0.0,0.0,0.0,0.0,1.5,976.6,96,0.0,0.0
75,2021-01-04 03:00:00,0.0,0.0,0.0,0.0,1.5,976.6,96,0.0,0.0
76,2021-01-04 04:00:00,0.0,0.0,0.0,0.0,1.5,976.6,94,0.0,0.0
77,2021-01-04 05:00:00,0.0,0.0,0.0,0.0,1.5,976.6,95,0.0,0.0
78,2021-01-04 06:00:00,0.0,0.0,0.0,0.0,1.5,976.6,96,0.0,0.0
79,2021-01-04 07:00:00,0.0,0.0,0.0,0.0,1.5,976.6,97,0.0,0.0
80,2021-01-04 08:00:00,0.0,26.71,28.61,0.0,1.5,976.6,97,0.0,0.0
81,2021-01-04 09:00:00,0.0,52.14,118.71,0.0,1.0,979.5,97,0.0,0.0
82,2021-01-04 10:00:00,0.125,72.859055,193.17,0.0,1.5,979.5,97,0.0,0.0
83,2021-01-04 11:00:00,0.935,70.39,232.71,0.0,1.5,979.5,95,0.0,0.0
84,2021-01-04 12:00:00,1.006,70.11,230.59,0.0,2.1,979.5,94,0.0,0.0
85,2021-01-04 13:00:00,0.9440000000000001,70.58091999999999,187.13,0.0,2.1,978.5,92,0.0,0.0
86,2021-01-04 14:00:00,0.52,50.34,109.91,0.0,2.1,978.5,93,0.0,0.0
87,2021-01-04 15:00:00,1.4469999999999998,22.81,20.66,0.0,2.1,978.5,94,0.0,0.0
88,2021-01-04 16:00:00,19.192999999999998,0.0,0.0,0.0,2.6,978.5,95,0.0,0.0
89,2021-01-04 17:00:00,24.96,0.0,0.0,0.0,2.1,978.5,96,0.0,0.0
90,2021-01-04 18:00:00,0.188,0.0,0.0,0.0,2.1,978.5,96,0.0,0.0
91,2021-01-04 19:00:00,0.0,0.0,0.0,0.0,2.1,979.5,96,0.0,0.0
92,2021-01-04 20:00:00,0.0,0.0,0.0,0.0,2.1,979.5,95,0.0,0.0
93,2021-01-04 21:00:00,0.0,0.0,0.0,0.0,2.1,979.5,94,0.0,0.0
94,2021-01-04 22:00:00,0.0,0.0,0.0,0.0,2.1,979.5,93,0.0,0.0
95,2021-01-04 23:00:00,0.0,0.0,0.0,0.0,2.1,979.5,94,0.0,0.0
96,2021-01-05 00:00:00,0.0,0.0,0.0,0.0,2.1,979.5,95,0.0,0.0
97,2021-01-05 01:00:00,0.0,0.0,0.0,-0.4,2.1,979.5,96,0.0,0.0
98,2021-01-05 02:00:00,0.0,0.0,0.0,0.0,2.1,979.5,96,0.0,0.0
99,2021-01-05 03:00:00,0.0,0.0,0.0,0.0,2.1,979.5,97,0.0,0.0
100,2021-01-05 04:00:00,0.0,0.0,0.0,0.0,2.1,979.5,96,0.0,0.0
101,2021-01-05 05:00:00,0.0,0.0,0.0,0.0,2.1,979.5,97,0.0,0.0
102,2021-01-05 06:00:00,0.0,0.0,0.0,0.0,2.1,979.5,97,0.0,0.0
103,2021-01-05 07:00:00,0.0,0.0,0.0,0.0,2.1,979.5,97,0.0,0.0
104,2021-01-05 08:00:00,0.0,26.93,29.1,0.0,2.1,979.5,96,0.0,0.0
105,2021-01-05 09:00:00,17.817,52.33,119.68,0.0,1.5,979.5,95,0.0,0.0
106,2021-01-05 10:00:00,41.732,65.07,194.57,0.0,2.6,979.5,94,0.0,0.0
107,2021-01-05 11:00:00,55.821999999999996,70.63,234.5,1.0,1.5,979.5,95,0.0,0.0
108,2021-01-05 12:00:00,58.516000000000005,70.39,232.69,1.0,3.6,979.6,86,0.0,0.0
109,2021-01-05 13:00:00,55.233999999999995,64.31,189.44,1.0,3.1,979.6,93,0.0,0.0
110,2021-01-05 14:00:00,53.09,50.82,112.21,1.0,2.6,978.7,93,0.0,0.0
111,2021-01-05 15:00:00,43.401,23.67,22.29,1.0,2.6,978.7,93,0.0,0.0
112,2021-01-05 16:00:00,47.769,0.0,0.0,1.0,2.1,979.6,93,0.0,0.0
113,2021-01-05 17:00:00,26.975,0.0,0.0,1.0,2.6,979.6,93,0.0,0.0
114,2021-01-05 18:00:00,0.5379999999999999,0.0,0.0,1.0,2.7,979.6,96,0.0,0.0
115,2021-01-05 19:00:00,0.0,0.0,0.0,1.0,2.7,979.6,96,0.0,0.0
116,2021-01-05 20:00:00,0.0,0.0,0.0,1.0,2.8,979.6,96,0.0,0.0
117,2021-01-05 21:00:00,0.0,0.0,0.0,1.0,2.9,979.6,96,0.0,0.0
118,2021-01-05 22:00:00,0.0,0.0,0.0,1.0,2.9,979.6,96,0.0,0.0
119,2021-01-05 23:00:00,0.0,0.0,0.0,1.0,3.0,979.6,96,0.0,0.0
120,2021-01-06 00:00:00,0.0,0.0,0.0,0.4,3.1,979.6,96,0.0,0.0
121,2021-01-06 01:00:00,0.0,0.0,0.0,0.7,3.1,979.6,97,0.0,0.0
122,2021-01-06 02:00:00,0.0,0.0,0.0,1.0,3.2,979.6,97,0.0,0.0
123,2021-01-06 03:00:00,0.0,0.0,0.0,1.0,3.3,979.6,97,0.0,0.0
124,2021-01-06 04:00:00,0.0,0.0,0.0,1.0,3.3,979.6,97,0.0,0.0
125,2021-01-06 05:00:00,0.0,0.0,0.0,1.0,3.4,979.6,97,0.0,0.0
126,2021-01-06 06:00:00,0.0,0.0,0.0,1.0,3.5,979.6,97,0.0,0.0
127,2021-01-06 07:00:00,0.0,0.0,0.0,1.0,3.5,979.6,97,0.0,0.0
128,2021-01-06 08:00:00,0.0,27.19,29.68,1.0,3.6,979.6,93,0.0,0.0
129,2021-01-06 09:00:00,0.141,52.55,120.77,1.0,3.6,977.7,93,0.0,0.0
130,2021-01-06 10:00:00,27.391,73.9604,196.09,1.0,2.6,977.7,93,0.0,0.0
131,2021-01-06 11:00:00,38.819,70.88,236.41,1.0,2.6,977.7,93,0.0,0.0
132,2021-01-06 12:00:00,42.963,88.60991999999999,234.93,0.0,2.1,976.7,93,0.0,0.0
133,2021-01-06 13:00:00,33.2,64.67,191.87,1.0,3.6,976.6,93,0.0,0.0
134,2021-01-06 14:00:00,48.247,51.31,114.62,0.0,3.6,976.7,93,0.0,0.0
135,2021-01-06 15:00:00,49.707,24.54,24.01,0.0,3.1,976.6,93,0.0,0.0
136,2021-01-06 16:00:00,34.037,0.0,0.0,0.0,3.1,976.6,93,0.0,0.0
137,2021-01-06 17:00:00,7.2620000000000005,0.0,0.0,0.0,2.6,976.6,92,0.0,0.0
138,2021-01-06 18:00:00,0.138,0.0,0.0,0.0,2.6,976.6,91,0.0,0.0
139,2021-01-06 19:00:00,0.0,0.0,0.0,0.0,2.7,976.6,91,0.0,0.0
140,2021-01-06 20:00:00,0.0,0.0,0.0,0.0,2.7,976.6,91,0.0,0.0
141,2021-01-06 21:00:00,0.0,0.0,0.0,0.0,2.7,976.6,92,0.0,0.0
142,2021-01-06 22:00:00,0.0,0.0,0.0,0.0,2.8,976.6,91,0.0,0.0
143,2021-01-06 23:00:00,0.0,0.0,0.0,0.0,2.8,976.6,91,0.0,0.0
144,2021-01-07 00:00:00,0.0,0.0,0.0,-0.4,2.8,976.6,92,0.0,0.0
145,2021-01-07 01:00:00,0.0,0.0,0.0,-0.4,2.9,976.6,92,0.0,0.0
146,2021-01-07 02:00:00,0.0,0.0,0.0,0.0,2.9,976.6,92,0.0,0.0
147,2021-01-07 03:00:00,0.0,0.0,0.0,0.0,2.9,976.6,90,0.0,0.0
148,2021-01-07 04:00:00,0.0,0.0,0.0,0.0,3.0,976.6,88,0.0,0.0
149,2021-01-07 05:00:00,0.0,0.0,0.0,0.0,3.0,976.6,87,0.0,0.0
150,2021-01-07 06:00:00,0.0,0.0,0.0,0.0,3.0,976.6,89,0.0,0.0
151,2021-01-07 07:00:00,0.0,0.0,0.0,0.0,3.1,976.6,89,0.0,0.0
152,2021-01-07 08:00:00,0.0,27.48,30.35,0.0,3.1,976.6,90,0.0,0.0
153,2021-01-07 09:00:00,0.125,52.79,121.98,0.0,3.1,975.6,88,0.0,0.0
154,2021-01-07 10:00:00,6.665,74.58652,197.75,1.0,3.6,975.6,80,0.0,0.0
155,2021-01-07 11:00:00,8.525,89.94135,238.46,1.0,2.6,975.8,86,0.0,0.0
156,2021-01-07 12:00:00,26.586,89.50381999999999,237.3,1.0,3.6,974.8,86,0.0,0.0
157,2021-01-07 13:00:00,11.224,73.3343,194.43,1.0,3.6,974.8,86,0.0,0.0
158,2021-01-07 14:00:00,8.318999999999999,51.82,117.14,1.0,3.1,973.8,86,0.0,0.0
159,2021-01-07 15:00:00,7.367000000000001,25.43,25.84,1.0,2.1,974.8,80,0.0,0.0
160,2021-01-07 16:00:00,2.528,0.0,0.0,0.0,1.5,974.8,86,0.0,0.0
161,2021-01-07 17:00:00,0.9590000000000001,0.0,0.0,0.0,1.5,974.7,91,0.0,0.0
162,2021-01-07 18:00:00,0.004,0.0,0.0,0.0,1.5,974.7,91,0.0,0.0
163,2021-01-07 19:00:00,0.0,0.0,0.0,0.0,1.5,974.7,91,0.0,0.0
164,2021-01-07 20:00:00,0.0,0.0,0.0,0.0,1.5,974.7,90,0.0,0.0
165,2021-01-07 21:00:00,0.0,0.0,0.0,0.0,1.5,974.7,92,0.0,0.0
166,2021-01-07 22:00:00,0.0,0.0,0.0,0.0,1.5,974.7,95,0.0,0.0
167,2021-01-07 23:00:00,0.0,0.0,0.0,0.0,1.5,974.7,95,0.0,0.0
168,2021-01-08 00:00:00,0.0,0.0,0.0,0.0,1.5,974.7,95,3.5,0.5
169,2021-01-08 01:00:00,0.0,0.0,0.0,0.0,1.5,974.7,95,3.5,0.5
170,2021-01-08 02:00:00,0.0,0.0,0.0,0.0,1.5,974.7,96,3.5,0.5
171,2021-01-08 03:00:00,0.0,0.0,0.0,0.0,1.5,974.7,96,3.5,0.5
172,2021-01-08 04:00:00,0.0,0.0,0.0,0.0,1.5,974.7,96,0.0,0.0
173,2021-01-08 05:00:00,0.0,0.0,0.0,0.0,1.5,974.7,96,0.0,0.0
174,2021-01-08 06:00:00,0.0,0.0,0.0,0.0,1.5,974.7,95,0.0,0.0
175,2021-01-08 07:00:00,0.0,0.0,0.0,0.0,1.5,974.7,94,0.0,0.0
176,2021-01-08 08:00:00,0.0,27.81,31.12,0.0,1.5,974.7,95,0.0,0.0
177,2021-01-08 09:00:00,0.8170000000000001,53.05,123.32,0.0,3.6,975.6,95,0.0,0.0
178,2021-01-08 10:00:00,33.023,65.8,199.54,0.0,3.6,975.6,94,0.0,0.0
179,2021-01-08 11:00:00,16.274,71.42,240.64,0.0,3.1,976.6,93,0.0,0.0
180,2021-01-08 12:00:00,30.587,71.31,239.79,0.0,4.6,976.6,91,0.0,0.0
181,2021-01-08 13:00:00,39.429,65.44,197.1,0.0,3.6,976.6,91,0.0,0.0
182,2021-01-08 14:00:00,42.099,52.35,119.77,0.0,4.1,976.6,92,0.0,0.0
183,2021-01-08 15:00:00,39.835,26.33,27.78,0.0,4.6,977.6,94,0.0,0.0
184,2021-01-08 16:00:00,26.85,0.0,0.0,0.0,3.1,978.5,94,0.0,0.0
185,2021-01-08 17:00:00,1.893,0.0,0.0,0.0,3.1,978.5,91,0.0,0.0
186,2021-01-08 18:00:00,0.136,0.0,0.0,0.0,1.5,979.5,93,0.0,0.0
187,2021-01-08 19:00:00,0.0,0.0,0.0,0.0,3.6,979.5,93,0.0,0.0
188,2021-01-08 20:00:00,0.0,0.0,0.0,0.0,3.6,980.5,92,0.0,0.0
189,2021-01-08 21:00:00,0.0,0.0,0.0,0.0,3.6,980.5,91,0.0,0.0
190,2021-01-08 22:00:00,0.0,0.0,0.0,-0.1,3.5,981.4,92,0.0,0.0
191,2021-01-08 23:00:00,0.0,0.0,0.0,-0.2,3.3,981.4,92,0.0,0.0
192,2021-01-09 00:00:00,0.0,0.0,0.0,-0.3,3.2,981.4,92,0.0,0.0
193,2021-01-09 01:00:00,0.0,0.0,0.0,-0.4,3.1,981.4,92,0.0,0.0
194,2021-01-09 02:00:00,0.0,0.0,0.0,-0.5,2.9,981.4,92,0.0,0.0
195,2021-01-09 03:00:00,0.0,0.0,0.0,-0.5,2.8,981.4,92,0.0,0.0
196,2021-01-09 04:00:00,0.0,0.0,0.0,-0.6,2.6,981.4,92,0.0,0.0
197,2021-01-09 05:00:00,0.0,0.0,0.0,-0.7,2.5,981.4,92,0.0,0.0
198,2021-01-09 06:00:00,0.0,0.0,0.0,-0.8,2.4,981.4,92,0.0,0.0
199,2021-01-09 07:00:00,0.0,0.0,0.0,-0.9,2.2,981.4,92,0.0,0.0
200,2021-01-09 08:00:00,0.0,28.17,31.97,-1.0,2.1,981.4,92,0.0,0.0
201,2021-01-09 09:00:00,0.8190000000000001,53.33,124.78,-1.0,2.1,985.2,92,0.0,0.0
202,2021-01-09 10:00:00,34.713,75.98585,201.46,0.0,1.5,985.2,90,0.0,0.0
203,2021-01-09 11:00:00,50.1,91.63864000000001,242.96,0.0,2.1,985.3,89,0.0,0.0
204,2021-01-09 12:00:00,52.974,91.43119,242.41,0.0,2.1,985.3,86,0.0,0.0
205,2021-01-09 13:00:00,53.333,65.85,199.9,0.0,2.6,985.3,85,0.0,0.0
206,2021-01-09 14:00:00,39.356,52.89,122.5,0.0,1.5,985.3,83,0.0,0.0
207,2021-01-09 15:00:00,33.687,27.24,29.81,0.0,2.1,986.2,86,0.0,0.0
208,2021-01-09 16:00:00,17.093,0.0,0.0,0.0,1.0,986.2,88,0.0,0.0
209,2021-01-09 17:00:00,5.684,0.0,0.0,0.0,1.5,986.2,90,0.0,0.0
210,2021-01-09 18:00:00,0.267,0.0,0.0,0.0,1.0,986.2,91,0.0,0.0
211,2021-01-09 19:00:00,0.0,0.0,0.0,-1.0,0.5,987.2,100,0.0,0.0
212,2021-01-09 20:00:00,0.0,0.0,0.0,-1.0,0.5,987.1,99,0.0,0.0
213,2021-01-09 21:00:00,0.0,0.0,0.0,-1.0,0.6,987.1,98,0.0,0.0
214,2021-01-09 22:00:00,0.0,0.0,0.0,-1.0,0.6,987.1,97,0.0,0.0
215,2021-01-09 23:00:00,0.0,0.0,0.0,-1.0,0.7,987.1,97,0.0,0.0
216,2021-01-10 00:00:00,0.0,0.0,0.0,-1.0,0.7,987.1,96,0.0,0.0
217,2021-01-10 01:00:00,0.0,0.0,0.0,-1.0,0.8,987.1,96,0.0,0.0
218,2021-01-10 02:00:00,0.0,0.0,0.0,-1.0,0.8,987.1,95,0.0,0.0
219,2021-01-10 03:00:00,0.0,0.0,0.0,-1.0,0.9,987.1,94,0.0,0.0
220,2021-01-10 04:00:00,0.0,0.0,0.0,-1.0,0.9,987.1,94,0.0,0.0
221,2021-01-10 05:00:00,0.0,0.0,0.0,-1.0,1.0,987.1,93,0.0,0.0
222,2021-01-10 06:00:00,0.0,0.0,0.0,-1.0,1.0,987.1,92,0.0,0.0
223,2021-01-10 07:00:00,0.0,0.0,0.0,-1.0,1.0,987.1,92,0.0,0.0
224,2021-01-10 08:00:00,0.0,28.57,32.92,-1.0,2.1,987.1,92,0.0,0.0
225,2021-01-10 09:00:00,0.418,53.64,126.37,0.0,1.0,987.1,88,0.0,0.0
226,2021-01-10 10:00:00,20.147000000000002,76.75905,203.51,0.0,0.5,988.2,90,0.0,0.0
227,2021-01-10 11:00:00,9.696,92.558945,245.4,1.0,0.5,988.2,86,0.0,0.0
228,2021-01-10 12:00:00,12.161,92.46843,245.16,2.0,2.6,987.3,80,0.0,0.0
229,2021-01-10 13:00:00,26.177,76.495026,202.81,2.0,3.1,987.5,80,0.0,0.0
230,2021-01-10 14:00:00,35.295,53.44,125.35,1.0,2.1,986.5,86,0.0,0.0
231,2021-01-10 15:00:00,13.208,28.16,31.95,1.0,2.6,987.3,86,0.0,0.0
232,2021-01-10 16:00:00,4.138999999999999,0.0,0.0,1.0,3.1,986.4,86,0.0,0.0
233,2021-01-10 17:00:00,1.504,0.0,0.0,1.0,2.1,986.4,86,0.0,0.0
234,2021-01-10 18:00:00,0.04,0.0,0.0,0.9,2.1,986.4,86,0.0,0.0
235,2021-01-10 19:00:00,0.0,0.0,0.0,0.9,2.1,986.4,85,0.0,0.0
236,2021-01-10 20:00:00,0.0,0.0,0.0,0.8,2.1,986.4,85,0.0,0.0
237,2021-01-10 21:00:00,0.0,0.0,0.0,0.7,2.1,986.4,85,0.0,0.0
238,2021-01-10 22:00:00,0.0,0.0,0.0,0.7,2.1,986.4,83,0.0,0.0
239,2021-01-10 23:00:00,0.0,0.0,0.0,0.6,2.1,986.4,83,0.0,0.0
240,2021-01-11 00:00:00,0.0,0.0,0.0,-1.9,2.1,986.4,83,0.0,0.0
241,2021-01-11 01:00:00,0.0,0.0,0.0,-1.9,2.1,986.4,82,0.0,0.0
242,2021-01-11 02:00:00,0.0,0.0,0.0,0.4,2.1,986.4,82,0.0,0.0
243,2021-01-11 03:00:00,0.0,0.0,0.0,0.3,2.1,986.4,82,0.0,0.0
244,2021-01-11 04:00:00,0.0,0.0,0.0,0.3,2.1,986.4,81,0.0,0.0
245,2021-01-11 05:00:00,0.0,0.0,0.0,0.2,2.1,986.4,81,0.0,0.0
246,2021-01-11 06:00:00,0.0,0.0,0.0,0.1,2.1,986.4,81,0.0,0.0
247,2021-01-11 07:00:00,0.0,0.0,0.0,0.1,2.1,986.4,80,0.0,0.0
248,2021-01-11 08:00:00,0.0,29.0,33.97,0.0,2.1,986.4,79,0.0,0.0
249,2021-01-11 09:00:00,0.024,53.96,128.08,-1.0,1.5,983.4,86,0.0,0.0
250,2021-01-11 10:00:00,1.015,77.5813,205.69,0.0,3.6,983.2,73,0.0,0.0
251,2021-01-11 11:00:00,1.8769999999999998,93.53206,247.98,1.0,2.6,983.4,74,0.0,0.0
252,2021-01-11 12:00:00,0.76,93.55091999999999,248.03,1.0,4.1,982.5,74,0.0,0.0
253,2021-01-11 13:00:00,0.305,77.63786999999999,205.84,1.0,3.6,981.5,74,0.0,0.0
254,2021-01-11 14:00:00,0.551,54.0,128.3,1.0,4.1,981.5,74,0.0,0.0
255,2021-01-11 15:00:00,1.527,29.1,34.2,0.0,5.1,980.6,74,0.0,0.0
256,2021-01-11 16:00:00,1.28,0.0,0.0,0.0,5.1,980.6,77,0.0,0.0
257,2021-01-11 17:00:00,0.17,0.0,0.0,0.0,5.1,980.6,79,0.0,0.0
258,2021-01-11 18:00:00,0.011000000000000001,0.0,0.0,0.1,5.2,980.6,81,0.0,0.0
259,2021-01-11 19:00:00,0.0,0.0,0.0,0.3,5.2,980.6,81,0.0,0.0
260,2021-01-11 20:00:00,0.0,0.0,0.0,0.4,5.3,980.6,82,0.0,0.0
261,2021-01-11 21:00:00,0.0,0.0,0.0,0.5,5.4,980.6,83,0.0,0.0
262,2021-01-11 22:00:00,0.0,0.0,0.0,0.7,5.5,980.6,83,0.0,0.0
263,2021-01-11 23:00:00,0.0,0.0,0.0,0.8,5.5,980.6,85,0.0,0.0
264,2021-01-12 00:00:00,0.0,0.0,0.0,0.4,5.6,980.6,86,0.0,0.0
265,2021-01-12 01:00:00,0.0,0.0,0.0,0.4,5.7,980.6,86,3.5,0.5
266,2021-01-12 02:00:00,0.0,0.0,0.0,1.2,5.8,980.6,87,1.0,0.5
267,2021-01-12 03:00:00,0.0,0.0,0.0,1.3,5.8,980.6,89,1.0,0.5
268,2021-01-12 04:00:00,0.0,0.0,0.0,1.5,5.9,980.6,89,1.0,0.5
269,2021-01-12 05:00:00,0.0,0.0,0.0,1.6,6.0,980.6,90,0.0,0.5
270,2021-01-12 06:00:00,0.0,0.0,0.0,1.7,6.1,980.6,91,0.0,1.0
271,2021-01-12 07:00:00,0.0,0.0,0.0,1.9,6.1,980.6,91,0.0,1.0
272,2021-01-12 08:00:00,0.0,29.47,35.12,2.0,6.2,980.6,93,0.0,0.5
273,2021-01-12 09:00:00,0.002,54.31,129.91,2.0,4.6,968.2,93,0.0,0.5
274,2021-01-12 10:00:00,1.032,67.0,208.0,3.0,6.2,968.2,86,0.0,0.5
275,2021-01-12 11:00:00,7.1579999999999995,94.55043,250.68,3.0,5.7,968.3,93,0.0,0.5
276,2021-01-12 12:00:00,45.354,72.74,251.02,3.0,5.7,968.3,93,0.0,0.5
277,2021-01-12 13:00:00,58.115,78.82220500000001,208.98,3.0,7.7,967.3,93,0.0,0.5
278,2021-01-12 14:00:00,57.986000000000004,54.58,131.35,2.0,4.6,968.3,100,0.0,0.5
279,2021-01-12 15:00:00,54.653999999999996,30.04,36.55,2.0,3.6,970.1,100,0.0,0.0
